iter	Passed	Remaining
0	41	41885
1	65	32811
2	85	28387
3	105	26170
4	126	25157
5	146	24280
6	165	23481
7	185	22970
8	208	22994
9	233	23070
10	256	23044
11	278	22929
12	300	22777
13	320	22550
14	340	22341
15	359	22137
16	377	21836
17	395	21595
18	417	21574
19	442	21678
20	465	21700
21	486	21635
22	506	21515
23	526	21412
24	546	21314
25	565	21201
26	585	21104
27	606	21053
28	629	21067
29	658	21304
30	690	21592
31	716	21662
32	737	21613
33	758	21550
34	777	21449
35	797	21354
36	815	21231
37	839	21240
38	860	21208
39	884	21239
40	904	21161
41	924	21091
42	945	21032
43	965	20971
44	982	20858
45	1008	20925
46	1037	21039
47	1066	21159
48	1087	21097
49	1108	21059
50	1128	21002
51	1147	20918
52	1167	20868
53	1185	20775
54	1203	20669
55	1221	20590
56	1243	20564
57	1265	20561
58	1287	20540
59	1307	20489
60	1325	20409
61	1343	20325
62	1361	20249
63	1380	20185
64	1398	20114
65	1416	20045
66	1433	19964
67	1454	19937
68	1475	19904
69	1495	19872
70	1515	19828
71	1535	19794
72	1555	19755
73	1575	19720
74	1594	19669
75	1615	19645
76	1637	19623
77	1659	19617
78	1683	19623
79	1707	19635
80	1729	19620
81	1751	19609
82	1772	19581
83	1795	19574
84	1818	19578
85	1841	19575
86	1868	19608
87	1895	19646
88	1919	19644
89	1937	19594
90	1957	19556
91	1977	19515
92	1995	19459
93	2011	19388
94	2031	19348
95	2051	19318
96	2071	19279
97	2093	19268
98	2113	19237
99	2134	19212
100	2152	19163
101	2170	19109
102	2188	19063
103	2208	19031
104	2226	18982
105	2245	18941
106	2263	18894
107	2286	18886
108	2306	18857
109	2329	18851
110	2346	18796
111	2366	18760
112	2385	18723
113	2405	18694
114	2425	18669
115	2444	18625
116	2464	18601
117	2483	18560
118	2507	18560
119	2527	18534
120	2546	18499
121	2565	18461
122	2585	18431
123	2605	18404
124	2622	18358
125	2639	18311
126	2657	18265
127	2675	18224
128	2693	18187
129	2714	18165
130	2738	18165
131	2759	18148
132	2778	18110
133	2796	18070
134	2814	18032
135	2832	17995
136	2850	17958
137	2868	17919
138	2886	17880
139	2904	17843
140	2929	17846
141	2953	17847
142	2976	17840
143	2995	17804
144	3015	17780
145	3036	17759
146	3063	17779
147	3088	17778
148	3113	17784
149	3144	17819
150	3172	17839
151	3194	17823
152	3215	17800
153	3233	17763
154	3251	17724
155	3270	17691
156	3292	17676
157	3310	17644
158	3328	17607
159	3347	17572
160	3371	17570
161	3391	17542
162	3411	17519
163	3429	17482
164	3447	17447
165	3466	17414
166	3483	17377
167	3504	17353
168	3521	17316
